Key;Id;Spanish(es);English(en);Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71
app_mushroom_desc;1.06E+20;Elige una carta de Herbívoro o Carnívoro y muévela a un espacio vacío en un territorio donde haya al menos una carta de hongo o macrohongo.;Choose a Herbivore or Carnivore card and move it to an empty slot in a territory where there is at least one Mushroom or Macrofungi card.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
app_mushroom_name;1.06E+20;Seta Apetitosa;Appetizing Mushroom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arson_desc;1.13E+20;Elige un territorio. Todas las cartas de Población y Seta en ese territorio mueren. Si hay una construcción, también se destruye.;Choose a territory. All Population and Mushroom cards in that territory die. If there is a construction, it is also destroyed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arson_name;1.13E+20;Incendio Provocado;Arson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c_token_desc;7.64E+18;Eige un territorio. Debe estar sin construir, tener 2 o más Plantas, y no tener Carnívoros. El territorio pasa a estar construido, y se descartan las 2 Plantas más recientes que haya.;Choose a territory. It must be unconstructed, have 2 or more Plants, and no Carnivores. The territory becomes constructed, and the 2 most recent Plants are discarded.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c_token_name;7.64E+18;Ficha de Construcción;Construction Token;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carnivore_desc;8.07E+16;Juégala sobre un espacio de territorio vacío para hacer aparecer un carnívoro.;Play it on an empty territory space to make a carnivore appear.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carnivore_name;8521510912;Carnívoro;Carnivore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
compost_desc;1.13E+20;Elige un espacio vacío de un territorio. Coloca una carta de Seta y una carta de Planta encima.;Choose an empty space in a territory. Place a Mushroom card and a Plant card on top of it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
compost_name;1.13E+20;Compost;Compost;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deep_roots_desc;1.35E+20;NO DEBERIAS VER ESTO;NO DEBERIAS VER ESTO PERO EN INGLES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deep_roots_name;1.35E+20;NO DEBERIAS VER ESTO;NO DEBERIAS VER ESTO PERO EN INGLES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fireworks_desc;1.06E+20;Elige una carta de herbívoro o carnívoro y muévela a un espacio vacío en el territorio opuesto al que se encuentra.;Choose a herbivore or carnivore card and move it to an empty space in the opposite territory to the one it is in.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fireworks_name;1.06E+20;Pirotecnia;Fireworks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
green_ivy_desc;1.39E+20;Coloca esta carta sobre una carta de planta. Al final de la ronda, si hay una construcción en su territorio, se destruye la construcción y descarta esta carta.;Place this card on top of a Plant card. At the end of the round, if there is a construction on its territory, destroy the construction and discard this card.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
green_ivy_name;1.39E+20;Hiedra Verde;Green Ivy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
herbivore_desc;8.37E+16;Juégala sobre un espacio de territorio vacío para hacer aparecer un herbívoro.;Play it on an empty territory space to make a herbivore appear.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
herbivore_name;4.04E+16;Herbívoro;Herbivore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
